"payment","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","var25","var26","var27","var28","var29","var30"
"Success","qw","hk",3.11,16.06,-4.6,22.34,13.53,1.53,"nv","ld","rl",4.46,"cb",4.93,26.48,10.48,"ov",11.17,"ev",19.15,8.94,-12.76,"ub",12.06,2.46,4.73,-1.72,0.91,"ev",8
"Denied","qw","rv",3.35,11.18,-18.55,6.68,12.78,6.62,"nv","ld","te",4.04,"kh",-0.76,16.21,-0.87,"ki",15.5,"tg",28.39,31.02,34.76,"cz",1.44,9.44,13.56,-2.24,0.24,"ev",-2.9
"Denied","qw","zg",4.15,29.19,18.91,16.4,3.67,5.72,"ch","ld","te",-4.41,"cb",1.21,29.06,5.49,"bw",-10.84,"me",1.6,23.26,9.5,"ri",7.77,8.7,-1.75,5.96,1.91,"ev",22.67
"Success","wv","js",6.23,15.7,2.81,4.46,5.13,8.66,"ja","ld","te",2.14,"iz",3.56,23.61,15.34,"bw",-24.26,"ev",-11.89,29.25,-1.53,"ri",8.94,19.33,23.73,5.54,0.85,"ev",36.31
"Success","ma","xn",1.28,20.71,14.98,11.19,17.66,1.13,"nv","ld","te",14.93,"te",2.2,-19.16,-3,"ki",12.02,"me",18.47,2.19,10.24,"ub",8.92,5.48,-0.28,4.01,1.21,"ev",11.33
"Success","kq","py",-2.45,22.45,15.18,-2.12,-8.24,10.34,"ch","db","te",8.64,"iz",0.37,35.83,8.05,"ki",32.12,"ev",9.94,-0.26,8.11,"ri",2.32,6.89,-3.51,6.65,-1.12,"ev",9.93
"Success","wv","py",1.05,23.02,17.59,6.65,-2.06,12.2,"ch","ld","te",14.91,"cb",-0.84,-8.38,15.66,"zk",69.45,"ev",27.55,14.39,-4.73,"tf",8.57,8.73,2.87,1.22,1.26,"ev",21.75
"Success","qw","rv",5.41,17.92,-14.59,5,1.34,-8.54,"ch","ld","te",13.97,"cb",5.85,28.99,15.06,"bw",15.39,"tg",17.71,4.09,22.62,"ub",2.82,-11.05,11.94,9.08,0.68,"ev",7.53
"Denied","wv","rv",7.29,26.83,33.92,13.35,20.57,4.46,"ch","db","te",15.19,"kh",5.23,-7.39,-5.47,"bw",7.47,"qu",32.47,12.25,21.17,"tf",15,7.42,12.93,0.87,1.6,"dg",-4.66
"Denied","qw","rv",3.13,34.21,22.55,0.8,6.91,11.18,"ch","ld","rl",22.57,"te",0.62,-0.84,-0.19,"bw",-11.42,"me",39.63,14.06,14.27,"tf",6.59,6.22,3.33,-2.54,-1.43,"ev",13.69
"Denied","qw","py",3.63,3.31,3.05,4.85,10.17,8.77,"ch","ld","te",12.04,"iz",0.81,54.14,15.17,"bw",1.48,"ev",18.29,-18.36,10.82,"tf",7.93,4.29,6.07,8.42,-1.06,"dg",-23.39
"Denied","qw","bq",2.7,35.12,10.68,9.99,6.23,4.56,"ch","ld","rl",2.71,"np",3.41,-2.48,-16.66,"bw",13.33,"ev",6.34,31.51,11.1,"tf",1.29,9.36,-14.81,11.9,0.05,"dg",28.29
"Denied","wv","py",2.96,29.2,27.58,-4.97,8.82,-6.3,"ch","db","te",7.2,"te",2.59,-9.73,21.35,"ki",17.7,"me",36.66,-11.44,-9.82,"ub",10.67,7.11,6.87,7.19,0.52,"ev",17.49
"Denied","wv","py",0.63,20.2,61.52,10.81,14.02,2.85,"nv","ld","te",18.59,"iz",0.44,32.07,14.34,"zk",24.92,"ev",12.8,41.39,14.25,"ub",6.7,19.93,-13.38,1.09,-0.78,"dg",19.88
"Success","qw","rv",1.38,-0.9,44.83,5.55,4.83,10.5,"ch","pe","te",9.94,"te",5.06,23.28,19.08,"bw",27.68,"ev",22.81,29.68,24,"qu",4.14,-5.15,4.15,-0.04,0.85,"ev",5.96
"Denied","qw","xn",7,7.82,20.31,8.07,9.63,0.49,"nv","ld","te",13.91,"kh",1.19,30.24,6.38,"zk",23.39,"ev",32,18.73,7.08,"fe",7.66,25.79,35.45,7.36,1.11,"ev",44.32
"Denied","qw","bq",1.14,35.9,6.37,9.25,-2.01,9.16,"nv","db","te",1.93,"pf",4.17,18.6,-0.24,"bw",60.26,"me",-0.34,12.7,6.09,"tf",0.83,13.36,21.3,4.43,-1.55,"ev",33.25
"Denied","qw","js",3.23,0.57,39.75,-3.34,2.99,-8.13,"ch","db","te",-2.33,"iz",4.94,38.58,18.15,"bw",23.62,"tg",25.45,-8.48,2.49,"fe",9.08,12.86,20.26,9.54,1.19,"ev",45.87
"Denied","qw","py",-0.82,12.15,-0.33,1.17,3.52,13.4,"nv","ld","te",6.96,"kh",4.66,-1.2,10.88,"zk",33.54,"qu",29.79,-1.67,25.71,"cz",9.83,16.67,15.43,3.44,1.7,"dg",5.7
"Denied","qw","rv",6.82,15.19,-4.94,-0.88,5.51,10.31,"ch","ld","te",4.18,"iz",3.81,46.02,-5.75,"ki",-1.55,"ev",25.66,-6.31,-3.47,"ub",-2.36,14.6,8.51,9.41,-0.31,"dg",15.65
"Success","kq","py",4.92,-8.3,26.7,17.64,6.74,3.06,"ch","ld","rl",-6.4,"cb",-0.26,-3.05,12.09,"ki",15.09,"qu",35.89,30.81,18.33,"ub",9.64,12.95,36.4,5.58,0.93,"ev",29.93
"Denied","wv","py",3.02,5.04,0.38,3.69,9.84,10.86,"ja","ld","rl",8.68,"cb",2.41,21.04,13.58,"zk",37.95,"ev",13,-6.01,-15.61,"ri",14.53,14.91,-5.46,0.76,1.75,"ev",40.15
"Denied","wv","bq",7.04,24.02,61.24,-2.14,-0.96,-7.64,"ch","db","te",3.52,"iz",0.85,8.34,12.31,"zk",23.49,"ev",1.71,4.17,30.33,"tf",-2.5,25.88,31.79,4.6,0.91,"dg",1.96
"Denied","kq","py",3.64,43.39,59.78,8.85,10.23,11.26,"ch","ld","te",6.3,"te",5,11.91,11.52,"ki",18.81,"qu",14.54,23.56,10.36,"yv",13.99,16.2,19.68,-1.23,2.5,"ev",9.39
"Denied","qw","bq",-0.71,21.99,18.37,7.49,11.63,6.58,"ch","pe","te",-5.19,"cb",-1.13,26.49,24.23,"bw",6.89,"tg",28.26,26.32,37.46,"tf",8.48,7.22,4.71,6,-0.07,"ev",19.12
"Denied","qw","bq",4.31,14.88,20.32,18.07,-5.81,4.09,"ch","db","te",13.15,"cb",1.23,46.96,-1.02,"bw",1.59,"me",20.11,-4.3,22.05,"tf",10.71,1,-0.03,13,2.08,"ev",22.26
"Success","qw","hk",0.16,-3.9,33.44,8.62,6.04,1.83,"ch","ld","rl",2.7,"te",1.14,34.36,12.94,"ki",32.98,"qu",16.72,40.17,9.16,"tf",4.86,10.95,6.52,1.56,0.99,"ev",25.03
"Success","qw","js",3.66,21.16,12.87,2.72,15.38,9.27,"ch","ld","te",-0.5,"te",5.06,20.34,8.36,"ki",20.99,"me",4.28,16.06,33.02,"tf",-2.08,1.66,2.99,1.45,1.97,"ev",17.49
"Success","wv","py",1.76,11.82,6.59,1.69,31.52,-2.6,"ch","ld","te",0.39,"np",4.29,34.22,7.31,"ki",38.46,"tg",17.33,14.01,17.06,"fe",-2.28,6.11,6.49,-4.4,2.07,"ev",-3.59
"Denied","qw","py",3.42,-26.6,17.2,27.53,11.71,2.79,"ch","ld","te",7.54,"kh",2.86,28.86,21.34,"ki",37.97,"me",-6.98,33.58,23.14,"qu",8.35,14.92,13.35,-2.55,0.06,"ev",22.62
"Denied","wv","py",1,19.53,30.29,-4.38,2.12,-1.59,"ja","db","te",12.56,"te",0.93,13.13,2.4,"zk",18.69,"tg",49.29,18.62,5.18,"qu",15.6,21.45,16.74,1.89,1.94,"ev",22.89
"Denied","kq","hk",3.58,-3.56,33.52,19.28,21.66,12.5,"ch","ld","te",5.39,"cb",5.75,39.1,-1.21,"ki",44.61,"me",-17.52,5.7,-1.01,"ub",1.76,26.31,12.81,7.72,1.14,"ev",-8.4
"Success","ma","zg",3.42,12.24,40.44,-2.25,7.47,7.27,"nv","ld","rl",6.14,"te",5.56,-6.85,21.82,"bw",-27.3,"tg",-3.81,19.18,2.24,"yv",9.94,2.03,3.47,1.81,1.84,"ev",-0.64
"Denied","wv","bq",3.4,27.8,32.6,9.07,14.49,7.14,"nv","db","te",3.4,"cb",4.68,23.56,1.88,"bw",34.4,"qu",27.08,38.98,-7.29,"ub",6.91,20.33,-0.31,-3.8,0.81,"ev",14.76
"Success","ma","hk",4.43,3.76,15.59,17.08,8.91,3.13,"ch","db","te",18.45,"te",-0.18,22.98,5.98,"ki",29.04,"me",16.58,22.16,16.27,"ri",9.28,4.21,-27.29,4.23,1.21,"ev",30.24
"Denied","qw","bq",1.39,21.92,26.44,1.6,15.18,13.77,"ch","db","rl",1.57,"cb",3.1,21.38,7.39,"ki",0.43,"ev",2.15,13.03,8.1,"da",9.06,13.66,9.03,5.91,2.21,"ev",15.7
"Denied","wv","zg",4.49,2.84,58.74,15.9,21.75,10.45,"nv","ld","te",7.58,"cb",2.74,10.17,7.27,"bw",23.3,"ev",19.3,-3.9,30.47,"qu",8.35,27.55,-2.76,4.77,1.75,"dg",4.18
"Denied","qw","bq",7.99,6.01,30.67,11.25,10.06,-0.35,"nv","pe","te",5.65,"pf",1.53,32.48,10.52,"bw",4.79,"qu",19.26,12.52,-7.23,"fe",-2.58,1.03,18.67,10.92,-1.18,"ev",15.37
"Denied","qw","js",5.87,-9.61,5.8,12.52,17.27,12,"ch","ld","te",2.64,"np",0.98,38.8,-10.9,"ki",5.31,"ev",34.01,15.98,12.78,"cz",5.9,23.27,9.61,3.92,0.5,"dg",53.68
"Denied","wv","py",-0.9,23.71,17.73,13.91,17.42,11.58,"ch","db","te",2.02,"iz",2.77,11.65,30.72,"ki",-1.97,"qu",0.27,12.46,-1.42,"fe",6.9,2.01,27.72,13.99,0.1,"ev",-4.43
"Denied","kq","zg",2.26,0.64,19.86,3.96,9.79,3.59,"ch","ld","rl",11.53,"iz",1.89,18.18,30.3,"zk",1.28,"tg",10.71,13.3,13.09,"da",7.79,8.33,3.18,6.99,-0.02,"ev",8.15
"Denied","qw","py",6.59,30.2,19.15,21.55,27.7,0.52,"ch","db","te",-4.48,"te",1.32,14.21,0.88,"bw",30.5,"tg",10.35,2.42,-0.83,"cz",10.03,24.02,14.96,6.85,1.02,"ev",15.96
"Denied","wv","py",-1.56,21.21,13.24,-0.46,5.9,10.83,"ch","ld","te",6.8,"te",2.68,39.52,-15.81,"bw",28.75,"qu",13.95,39.39,4.77,"cz",-2.33,8.57,-5.14,5.21,0.5,"ev",-1.21
"Denied","kq","js",4.7,42.33,31.97,-1.19,-3.11,13.58,"nv","ld","te",3.37,"iz",4.61,37.63,19.04,"ov",26.58,"ev",19.11,5.57,18.72,"tf",-3.49,24.65,5.33,3.09,3.73,"ev",18.42
"Denied","qw","bq",-1.92,30.5,14.65,1.47,11.32,11.54,"nv","ld","rl",7.14,"te",2.48,15.02,7.77,"bw",19.12,"tg",25.26,26.76,15.82,"tf",-0.05,7.67,-2.04,2.5,1.64,"ev",20.72
